,actual_return,predicted_return,predicted_volatility,abs_error_ret,mape_ret
1970-01-01 00:00:00.000001900,-0.0129678891112572,-0.0013727050668035775,0.08402728241358252,0.011595184044453623,-89.41458355306297
1970-01-01 00:00:00.000001901,-0.0006920100504577,-0.0013727050668035775,0.0644911172505925,0.0006806950163458775,-98.36490321140008
1970-01-01 00:00:00.000001902,-0.0082709845898263,-0.0013727050668035775,0.0797702890529151,0.006898279523022722,-83.40336568282247
1970-01-01 00:00:00.000001903,0.0040321729993788,-0.0013727050668035775,0.07034817364592187,0.005404878066182377,134.04380385005945
1970-01-01 00:00:00.000001904,-0.0096535122792298,-0.0013727050668035775,0.07805471670388066,0.008280807212426224,-85.78025254334584
1970-01-01 00:00:00.000001905,-0.0239107974953141,-0.0013727050668035775,0.07363024284981799,0.02253809242851052,-94.25905778729215
1970-01-01 00:00:00.000001906,-0.0202262175849874,-0.0013727050668035775,0.07766282538491341,0.01885351251818382,-93.21323890126423
1970-01-01 00:00:00.000001907,0.035851331433135,-0.0013727050668035775,0.0757034520884595,0.03722403649993858,103.8288816954086
1970-01-01 00:00:00.000001908,-0.0361377549024168,-0.0013727050668035775,0.07792157711421795,0.034765049835613224,-96.2014655572536
1970-01-01 00:00:00.000001909,0.0094499654954005,-0.0013727050668035775,0.07716989665659774,0.010822670562204078,114.52603258151264
1970-01-01 00:00:00.000001910,0.1035202301822708,-0.0013727050668035775,0.07848024606651176,0.10489293524907438,101.32602590275025
1970-01-01 00:00:00.000001911,-0.0094130388440749,-0.0013727050668035775,0.07831350995356078,0.008040333777271324,-85.41698287298969
1970-01-01 00:00:00.000001912,-0.0475376651171035,-0.0013727050668035775,0.07916239196932436,0.04616496005029992,-97.11238433056802
1970-01-01 00:00:00.000001913,0.0412467309132953,-0.0013727050668035775,0.07927300045333135,0.04261943598009888,103.328033607534
1970-01-01 00:00:00.000001914,0.0043026936051173,-0.0013727050668035775,0.079881427443157,0.005675398671920877,131.9033887323742
1970-01-01 00:00:00.000001915,-0.0619511158956322,-0.0013727050668035775,0.08011789888616967,0.06057841082882862,-97.78421252473296
1970-01-01 00:00:00.000001916,-0.0015757896890602,-0.0013727050668035775,0.08059595598229304,0.0002030846222566224,-12.887799918131329
1970-01-01 00:00:00.000001917,-0.0055972783803204,-0.0013727050668035775,0.08088404303075046,0.0042245733135168224,-75.47549052357476
1970-01-01 00:00:00.000001918,-0.0705549372108302,-0.0013727050668035775,0.08128699656872601,0.06918223214402662,-98.05441671260836
1970-01-01 00:00:00.000001919,0.033714538184139,-0.0013727050668035775,0.08159062925109728,0.035087243250942576,104.07155233539389
1970-01-01 00:00:00.000001920,-0.0345736714137454,-0.0013727050668035775,0.08194657349335155,0.03320096634694182,-96.02962308984682
1970-01-01 00:00:00.000001921,0.0760709139603479,-0.0013727050668035775,0.08224853371238383,0.07744361902715148,101.80450713070057
1970-01-01 00:00:00.000001922,-0.0722899370390004,-0.0013727050668035775,0.0825720504584743,0.07091723197219682,-98.10111182409386
1970-01-01 00:00:00.000001923,0.0514103690048719,-0.0013727050668035775,0.08286441031635038,0.05278307407167548,102.670093783364
1970-01-01 00:00:00.000001924,-0.0152540799548299,-0.0013727050668035775,0.08316333165536434,0.013881374888026321,-91.00106285748856
1970-01-01 00:00:00.000001925,0.0001607213434493,-0.0013727050668035775,0.08344272247690362,0.0015334264102528775,954.090089930465
1970-01-01 00:00:00.000001926,-0.0501526700130123,-0.0013727050668035775,0.0837214853665229,0.048779964946208725,-97.262947184173
1970-01-01 00:00:00.000001927,0.0140407873810082,-0.0013727050668035775,0.08398675743626483,0.015413492447811778,109.77655333389866
1970-01-01 00:00:00.000001928,-0.0059453227595325,-0.0013727050668035775,0.0842480713271054,0.004572617692728922,-76.9111766959559
1970-01-01 00:00:00.000001929,-0.0173977767448205,-0.0013727050668035775,0.08449913729305601,0.016025071678016922,-92.10988227439896
